"Order ID","Customer Name","Order Date","Product Subtotal Price","Product Total Price","Product Subtotal Tax","Product Total Tax","Product SKU","Product Name","Product Quantity","Variation details","Order Amount","Customer Email","Phone Number","Order Status"
549,"Nessa Tanzil","2016-04-18 08:59:00",7200000,7200000,720000,720000,,"Dining Chair 3",9,,IDR 7.920.000,nessa@picasso.com,0892019893,Processing
526,"RURU RUAK","2016-03-30 07:20:00",400000,400000,40000,40000,"BLUE SKU","Blue Chair",1,,IDR 440.000,losedinkle@mailinator.com,28392019,On-hold
525,"Nessa Tanzil","2016-03-29 16:06:47",400000,400000,40000,40000,,"Amazing Chair 77",1,,IDR 880.000,nessa@picasso.com,0892019893,Processing
525,"Nessa Tanzil","2016-03-29 16:06:47",400000,400000,40000,40000,"BLUE SKU","Blue Chair",1,,IDR 880.000,nessa@picasso.com,0892019893,Processing
524,"Nessa Tanzil","2016-03-29 16:05:04",400000,400000,40000,40000,"BLUE SKU","Blue Chair",1,,IDR 880.000,nessa@picasso.com,0892019893,On-hold
524,"Nessa Tanzil","2016-03-29 16:05:04",400000,400000,40000,40000,,"Blue Chair 2",1,,IDR 880.000,nessa@picasso.com,0892019893,On-hold
523,"Nessa Tanzil","2016-03-29 15:51:47",400000,400000,40000,40000,"BLUE SKU","Blue Chair",1,,IDR 440.000,nessa@picasso.com,0892019893,On-hold
520,"John Smith","2016-03-18 07:29:13",400000,400000,40000,40000,"BLUE SKU","Blue Chair",1,,IDR 440.000,o_geez_crazy@hotmail.com,09827940291,On-hold
519,"John Smith","2016-03-18 06:59:12",500000,500000,50000,50000,,"Brown Chair",1,,IDR 550.000,john@picassohome.co.id,09827940291,Processing
518,"Hantu Hitam","2016-03-18 06:36:55",400000,400000,40000,40000,,"Amazing Chair 77",1,,IDR 440.000,ghost@gmail.com,09281930,On-hold
